arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,idx,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,pad_load,raw_id,raw_load,src_file,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6176,127.0.0.1,-1.0,5,13671,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55760,-1.0,-1.0,-1.0,3271095056.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6177,127.0.0.1,-1.0,5,29449,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271095056.0,-1.0,-1.0,65064,55760,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6178,127.0.0.1,-1.0,5,29449,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271095056.0,-1.0,-1.0,65064,55760,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6179,127.0.0.1,-1.0,5,13670,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55760,-1.0,-1.0,-1.0,3271095056.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6180,127.0.0.1,-1.0,5,13670,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55760,-1.0,-1.0,-1.0,3271095056.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6181,127.0.0.1,-1.0,5,1736,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,3271102094.0,7.0,-1.0,65072,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6182,127.0.0.1,-1.0,5,1736,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,3271102094.0,7.0,-1.0,65072,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6183,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55766,65495.0,-1.0,-1.0,3271102094.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6184,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55766,65495.0,-1.0,-1.0,3271102094.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6185,127.0.0.1,-1.0,5,1743,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102094.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6186,127.0.0.1,-1.0,5,1743,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102094.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6187,127.0.0.1,-1.0,5,1597,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,3271102095.0,-1.0,-1.0,65209,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6188,127.0.0.1,-1.0,5,1597,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,3271102095.0,-1.0,-1.0,65209,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6189,127.0.0.1,-1.0,5,8284,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55766,-1.0,-1.0,-1.0,3271102095.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6190,127.0.0.1,-1.0,5,8284,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55766,-1.0,-1.0,-1.0,3271102095.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6191,127.0.0.1,-1.0,5,8266,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a,-1.0,55766,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,65081,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6192,127.0.0.1,-1.0,5,8266,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a,-1.0,55766,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,65081,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6193,127.0.0.1,-1.0,5,63730,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,446174653a204d6f6e2c203239204a616e20323031382030373a31393a333620474d540d0a5365727665723a20575347495365727665722f302e322043507974686f6e2f332e362e330d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a582d4672616d652d4f7074696f6e733a2053414d454f524947494e0d0a566172793a20436f6f6b69650d0a436f6e74656e742d4c656e6774683a20393735310d0a5365742d436f6f6b69653a202063737266746f6b656e3d5068774e504647423335444b58674169556e6555786d626132465630644846644932353371564c71345532794a305837616a797578705a34473464664d314a6f3b20657870697265733d4d6f6e2c2032382d4a616e2d323031392030373a31393a333620474d543b204d61782d4167653d33313434393630303b20506174683d2f0d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c3e0a0a202020203c686561643e0a202020202020202020203c7469746c653e48656c6c6f20776f726c64213c2f7469746c653e0a202020203c2f686561643e0a0a202020203c626f64793e0a202020202020202020203c68313e48656c6c6f20776f726c64213c2f68313e0a202020202020202020203c68323e52756e696e6720446a616e676f20322e302b3c2f68323e0a202020200a3c6c696e6b2072656c3d227374796c6573686565742220687265663d222f7374617469632f64656275675f746f6f6c6261722f6373732f7072696e742e6373732220747970653d22746578742f63737322206d656469613d227072696e7422202f3e0a3c6c696e6b2072656c3d227374796c6573686565742220687265663d222f7374617469632f64656275675f746f6f6c6261722f6373732f746f6f6c6261722e6373732220747970653d22746578742f63737322202f3e0a0a3c212d2d2050726576656e74206f757220636f7079206f66206a51756572792066726f6d207265676973746572696e6720617320616e20414d44206d6f64756c65206f6e20736974657320746861742075736520526571756972654a532e202d2d3e0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f6a71756572795f7072652e6a73223e3c2f7363726970743e0a3c736372697074207372633d222f2f616a61782e676f6f676c65617069732e636f6d2f616a61782f6c6962732f6a71756572792f322e322e342f6a71756572792e6d696e2e6a73223e3c2f7363726970743e0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f6a71756572795f706f73742e6a73223e3c2f7363726970743e0a0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f746f6f6c6261722e6a73223e3c2f7363726970743e0a3c6469762069643d22646a44656275672220636c6173733d22646a64742d68696464656e22206469723d226c7472220a20202020200a2020202020646174612d73746f72652d69643d223466633266373436393231333439336362616236623261323832346637366662220a2020202020646174612d72656e6465722d70616e656c2d75726c3d222f5f5f64656275675f5f2f72656e6465725f70616e656c2f220a20202020200a20202020203e0a093c64697620636c6173733d22646a64742d68696464656e222069643d22646a4465627567546f6f6c626172223e0a09093c756c2069643d22646a446562756750616e656c4c697374223e0a0909090a0909093c6c693e3c612069643d22646a48696465546f6f6c426172427574746f6e2220687265663d222322207469746c653d224869646520746f6f6c626172223e486964652026233138373b3c2f613e3c2f6c693e0a0909090a0909090a090909093c6c6920636c6173733d22646a446562756750616e656c427574746f6e223e0a09090909093c696e70757420747970653d22636865636b626f782220646174612d636f6f6b69653d22646a647456657273696f6e7350616e656c2220636865636b65643d22636865636b656422207469746c653d,-1.0,55766,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,9616,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6194,127.0.0.1,-1.0,5,63730,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,446174653a204d6f6e2c203239204a616e20323031382030373a31393a333620474d540d0a5365727665723a20575347495365727665722f302e322043507974686f6e2f332e362e330d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a582d4672616d652d4f7074696f6e733a2053414d454f524947494e0d0a566172793a20436f6f6b69650d0a436f6e74656e742d4c656e6774683a20393735310d0a5365742d436f6f6b69653a202063737266746f6b656e3d5068774e504647423335444b58674169556e6555786d626132465630644846644932353371564c71345532794a305837616a797578705a34473464664d314a6f3b20657870697265733d4d6f6e2c2032382d4a616e2d323031392030373a31393a333620474d543b204d61782d4167653d33313434393630303b20506174683d2f0d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c3e0a0a202020203c686561643e0a202020202020202020203c7469746c653e48656c6c6f20776f726c64213c2f7469746c653e0a202020203c2f686561643e0a0a202020203c626f64793e0a202020202020202020203c68313e48656c6c6f20776f726c64213c2f68313e0a202020202020202020203c68323e52756e696e6720446a616e676f20322e302b3c2f68323e0a202020200a3c6c696e6b2072656c3d227374796c6573686565742220687265663d222f7374617469632f64656275675f746f6f6c6261722f6373732f7072696e742e6373732220747970653d22746578742f63737322206d656469613d227072696e7422202f3e0a3c6c696e6b2072656c3d227374796c6573686565742220687265663d222f7374617469632f64656275675f746f6f6c6261722f6373732f746f6f6c6261722e6373732220747970653d22746578742f63737322202f3e0a0a3c212d2d2050726576656e74206f757220636f7079206f66206a51756572792066726f6d207265676973746572696e6720617320616e20414d44206d6f64756c65206f6e20736974657320746861742075736520526571756972654a532e202d2d3e0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f6a71756572795f7072652e6a73223e3c2f7363726970743e0a3c736372697074207372633d222f2f616a61782e676f6f676c65617069732e636f6d2f616a61782f6c6962732f6a71756572792f322e322e342f6a71756572792e6d696e2e6a73223e3c2f7363726970743e0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f6a71756572795f706f73742e6a73223e3c2f7363726970743e0a0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f746f6f6c6261722e6a73223e3c2f7363726970743e0a3c6469762069643d22646a44656275672220636c6173733d22646a64742d68696464656e22206469723d226c7472220a20202020200a2020202020646174612d73746f72652d69643d223466633266373436393231333439336362616236623261323832346637366662220a2020202020646174612d72656e6465722d70616e656c2d75726c3d222f5f5f64656275675f5f2f72656e6465725f70616e656c2f220a20202020200a20202020203e0a093c64697620636c6173733d22646a64742d68696464656e222069643d22646a4465627567546f6f6c626172223e0a09093c756c2069643d22646a446562756750616e656c4c697374223e0a0909090a0909093c6c693e3c612069643d22646a48696465546f6f6c426172427574746f6e2220687265663d222322207469746c653d224869646520746f6f6c626172223e486964652026233138373b3c2f613e3c2f6c693e0a0909090a0909090a090909093c6c6920636c6173733d22646a446562756750616e656c427574746f6e223e0a09090909093c696e70757420747970653d22636865636b626f782220646174612d636f6f6b69653d22646a647456657273696f6e7350616e656c2220636865636b65643d22636865636b656422207469746c653d,-1.0,55766,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,9616,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6195,127.0.0.1,-1.0,5,1741,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6196,127.0.0.1,-1.0,5,1741,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6197,127.0.0.1,-1.0,5,1740,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6198,127.0.0.1,-1.0,5,1740,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102116.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6199,127.0.0.1,-1.0,5,1739,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102118.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6200,127.0.0.1,-1.0,5,1739,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271102118.0,-1.0,-1.0,65064,55766,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6201,127.0.0.1,-1.0,5,57886,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55766,-1.0,-1.0,-1.0,3271102118.0,-1.0,-1.0,40434,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6202,127.0.0.1,-1.0,5,57886,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55766,-1.0,-1.0,-1.0,3271102118.0,-1.0,-1.0,40434,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6203,127.0.0.1,-1.0,5,64710,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,3271107965.0,7.0,-1.0,65072,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6204,127.0.0.1,-1.0,5,64710,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,3271107965.0,7.0,-1.0,65072,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6205,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55772,65495.0,-1.0,-1.0,3271107965.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6206,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55772,65495.0,-1.0,-1.0,3271107965.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6207,127.0.0.1,-1.0,5,64717,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107965.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6208,127.0.0.1,-1.0,5,64717,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107965.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6209,127.0.0.1,-1.0,5,64571,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,3271107965.0,-1.0,-1.0,65209,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6210,127.0.0.1,-1.0,5,64571,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,3271107965.0,-1.0,-1.0,65209,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6211,127.0.0.1,-1.0,5,48478,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55772,-1.0,-1.0,-1.0,3271107965.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6212,127.0.0.1,-1.0,5,48478,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,55772,-1.0,-1.0,-1.0,3271107965.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6213,127.0.0.1,-1.0,5,48460,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65081,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6214,127.0.0.1,-1.0,5,48460,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65081,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6215,127.0.0.1,-1.0,5,64715,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6216,127.0.0.1,-1.0,5,64715,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6217,127.0.0.1,-1.0,5,48439,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,446174653a204d6f6e2c203239204a616e20323031382030373a31393a343220474d540d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65101,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6218,127.0.0.1,-1.0,5,48439,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,446174653a204d6f6e2c203239204a616e20323031382030373a31393a343220474d540d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65101,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6219,127.0.0.1,-1.0,5,64714,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6220,127.0.0.1,-1.0,5,64714,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107987.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6221,127.0.0.1,-1.0,5,48437,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,5365727665723a20575347495365727665722f302e322043507974686f6e2f332e362e330d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65102,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6222,127.0.0.1,-1.0,5,48437,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,5365727665723a20575347495365727665722f302e322043507974686f6e2f332e362e330d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65102,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6223,127.0.0.1,-1.0,5,64713,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6224,127.0.0.1,-1.0,5,64713,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6225,127.0.0.1,-1.0,5,48213,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a582d4672616d652d4f7074696f6e733a2053414d454f524947494e0d0a566172793a20436f6f6b69650d0a436f6e74656e742d4c656e6774683a20393735310d0a5365742d436f6f6b69653a202063737266746f6b656e3d48454f4d4a596863617a5971443570554763524b41674f476c4155324f6f4b547433524972796953756c4a464d696458566431376e507a58674a5464777a57303b20657870697265733d4d6f6e2c2032382d4a616e2d323031392030373a31393a343220474d543b204d61782d4167653d33313434393630303b20506174683d2f0d0a0d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65325,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6226,127.0.0.1,-1.0,5,48213,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a582d4672616d652d4f7074696f6e733a2053414d454f524947494e0d0a566172793a20436f6f6b69650d0a436f6e74656e742d4c656e6774683a20393735310d0a5365742d436f6f6b69653a202063737266746f6b656e3d48454f4d4a596863617a5971443570554763524b41674f476c4155324f6f4b547433524972796953756c4a464d696458566431376e507a58674a5464777a57303b20657870697265733d4d6f6e2c2032382d4a616e2d323031392030373a31393a343220474d543b204d61782d4167653d33313434393630303b20506174683d2f0d0a0d0a,-1.0,55772,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65325,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6227,127.0.0.1,-1.0,5,64712,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65064,55772,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6228,127.0.0.1,-1.0,5,64712,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,3271107988.0,-1.0,-1.0,65064,55772,-1.0
